2026-07-23 12:14:57,467 - BEL | Year=2017 | Computed=5027.27 | Source=34.6 | Difference=4992.67
2026-07-23 12:14:57,467 - BEL | Year=2018 | Computed=2829.11 | Source=34.6 | Difference=2794.51
2026-07-23 12:14:57,469 - BEL | Year=2019 | Computed=3106.25 | Source=34.6 | Difference=3071.65
2026-07-23 12:14:57,469 - BEL | Year=2020 | Computed=2886.87 | Source=34.6 | Difference=2852.27
2026-07-23 12:14:57,469 - BEL | Year=2021 | Computed=3091.67 | Source=34.6 | Difference=3057.07
2026-07-23 12:14:57,469 - BEL | Year=2022 | Computed=2815.75 | Source=34.6 | Difference=2781.15
2026-07-23 12:14:57,469 - BEL | Year=2023 | Computed=3834.21 | Source=34.6 | Difference=3799.61
2026-07-23 12:14:57,469 - BEL | Year=2024 | Computed=4504.72 | Source=34.6 | Difference=4470.12
2026-07-23 12:14:57,469 - BHEL | Year=2013 | Computed=31.93 | Source=3.28 | Difference=28.65
2026-07-23 12:14:57,469 - BHEL | Year=2014 | Computed=16.36 | Source=3.28 | Difference=13.08
2026-07-23 12:14:57,471 - BHEL | Year=2015 | Computed=9.31 | Source=3.28 | Difference=6.03
2026-07-23 12:14:57,471 - BHEL | Year=2021 | Computed=-8.59 | Source=3.28 | Difference=11.87
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2012 | Computed=29.62 | Source=20.6 | Difference=9.02
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2015 | Computed=33.76 | Source=20.6 | Difference=13.16
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2016 | Computed=26.09 | Source=20.6 | Difference=5.49
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2017 | Computed=32.67 | Source=20.6 | Difference=12.07
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2019 | Computed=30.17 | Source=20.6 | Difference=9.57
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2020 | Computed=14.75 | Source=20.6 | Difference=5.85
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2021 | Computed=9.33 | Source=20.6 | Difference=11.27
2026-07-23 12:14:57,471 - BOSCHLTD | Year=2024 | Computed=30.25 | Source=20.6 | Difference=9.65
2026-07-23 12:14:57,471 - BPCL | Year=2013 | Computed=16.42 | Source=32.1 | Difference=15.68
2026-07-23 12:14:57,471 - BPCL | Year=2014 | Computed=20.46 | Source=32.1 | Difference=11.64
2026-07-23 12:14:57,471 - BPCL | Year=2015 | Computed=24.76 | Source=32.1 | Difference=7.34
2026-07-23 12:14:57,471 - BPCL | Year=2017 | Computed=24.80 | Source=32.1 | Difference=7.30
2026-07-23 12:14:57,471 - BPCL | Year=2018 | Computed=24.56 | Source=32.1 | Difference=7.54
2026-07-23 12:14:57,471 - BPCL | Year=2019 | Computed=21.63 | Source=32.1 | Difference=10.47
2026-07-23 12:14:57,471 - BPCL | Year=2020 | Computed=10.16 | Source=32.1 | Difference=21.94
2026-07-23 12:14:57,471 - BPCL | Year=2021 | Computed=26.36 | Source=32.1 | Difference=5.74
2026-07-23 12:14:57,471 - BPCL | Year=2022 | Computed=20.68 | Source=32.1 | Difference=11.42
2026-07-23 12:14:57,471 - BPCL | Year=2023 | Computed=10.52 | Source=32.1 | Difference=21.58
2026-07-23 12:14:57,471 - BRITANNIA | Year=2014 | Computed=69.73 | Source=48.9 | Difference=20.83
2026-07-23 12:14:57,471 - BRITANNIA | Year=2015 | Computed=78.99 | Source=48.9 | Difference=30.09
2026-07-23 12:14:57,471 - BRITANNIA | Year=2016 | Computed=60.23 | Source=48.9 | Difference=11.33
2026-07-23 12:14:57,471 - BRITANNIA | Year=2020 | Computed=35.45 | Source=48.9 | Difference=13.45
2026-07-23 12:14:57,471 - BRITANNIA | Year=2024 | Computed=56.24 | Source=48.9 | Difference=7.34
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2013 | Computed=4.10 | Source=10.4 | Difference=6.30
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2014 | Computed=4.67 | Source=10.4 | Difference=5.73
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2015 | Computed=4.77 | Source=10.4 | Difference=5.63
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2016 | Computed=4.91 | Source=10.4 | Difference=5.49
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2017 | Computed=4.74 | Source=10.4 | Difference=5.66
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2018 | Computed=3.40 | Source=10.4 | Difference=7.00
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2019 | Computed=2.92 | Source=10.4 | Difference=7.48
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2020 | Computed=3.86 | Source=10.4 | Difference=6.54
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2021 | Computed=4.00 | Source=10.4 | Difference=6.40
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2022 | Computed=3.65 | Source=10.4 | Difference=6.75
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2023 | Computed=3.27 | Source=10.4 | Difference=7.13
2026-07-23 12:14:57,471 - CHOLAFIN | Year=2024 | Computed=3.51 | Source=10.4 | Difference=6.89
2026-07-23 12:14:57,471 - CIPLA | Year=2013 | Computed=61.01 | Source=22.8 | Difference=38.21
2026-07-23 12:14:57,471 - CIPLA | Year=2014 | Computed=71.22 | Source=22.8 | Difference=48.42
2026-07-23 12:14:57,471 - CIPLA | Year=2015 | Computed=73.59 | Source=22.8 | Difference=50.79
2026-07-23 12:14:57,481 - CIPLA | Year=2016 | Computed=67.76 | Source=22.8 | Difference=44.96
2026-07-23 12:14:57,481 - CIPLA | Year=2017 | Computed=71.53 | Source=22.8 | Difference=48.73
2026-07-23 12:14:57,482 - CIPLA | Year=2018 | Computed=67.38 | Source=22.8 | Difference=44.58
2026-07-23 12:14:57,482 - CIPLA | Year=2019 | Computed=68.73 | Source=22.8 | Difference=45.93
2026-07-23 12:14:57,482 - CIPLA | Year=2020 | Computed=75.06 | Source=22.8 | Difference=52.26
2026-07-23 12:14:57,483 - CIPLA | Year=2021 | Computed=73.40 | Source=22.8 | Difference=50.60
2026-07-23 12:14:57,483 - CIPLA | Year=2022 | Computed=78.70 | Source=22.8 | Difference=55.90
2026-07-23 12:14:57,483 - CIPLA | Year=2023 | Computed=73.31 | Source=22.8 | Difference=50.51
2026-07-23 12:14:57,483 - CIPLA | Year=2024 | Computed=71.55 | Source=22.8 | Difference=48.75
2026-07-23 12:14:57,483 - COALINDIA | Year=2013 | Computed=100.93 | Source=63.6 | Difference=37.33
2026-07-23 12:14:57,483 - COALINDIA | Year=2014 | Computed=124.15 | Source=63.6 | Difference=60.55
2026-07-23 12:14:57,483 - COALINDIA | Year=2015 | Computed=139.35 | Source=63.6 | Difference=75.75
2026-07-23 12:14:57,483 - COALINDIA | Year=2016 | Computed=164.22 | Source=63.6 | Difference=100.62
2026-07-23 12:14:57,483 - COALINDIA | Year=2017 | Computed=238.75 | Source=63.6 | Difference=175.15
2026-07-23 12:14:57,486 - COALINDIA | Year=2018 | Computed=349.82 | Source=63.6 | Difference=286.22
2026-07-23 12:14:57,486 - COALINDIA | Year=2019 | Computed=260.26 | Source=63.6 | Difference=196.66
2026-07-23 12:14:57,486 - COALINDIA | Year=2020 | Computed=193.11 | Source=63.6 | Difference=129.51
2026-07-23 12:14:57,486 - COALINDIA | Year=2021 | Computed=168.43 | Source=63.6 | Difference=104.83
2026-07-23 12:14:57,486 - COALINDIA | Year=2022 | Computed=182.22 | Source=63.6 | Difference=118.62
2026-07-23 12:14:57,486 - COALINDIA | Year=2023 | Computed=144.31 | Source=63.6 | Difference=80.71
2026-07-23 12:14:57,486 - COALINDIA | Year=2024 | Computed=105.75 | Source=63.6 | Difference=42.15
2026-07-23 12:14:57,486 - DABUR | Year=2013 | Computed=33.64 | Source=22.3 | Difference=11.34
2026-07-23 12:14:57,486 - DABUR | Year=2014 | Computed=38.29 | Source=22.3 | Difference=15.99
2026-07-23 12:14:57,486 - DABUR | Year=2015 | Computed=36.06 | Source=22.3 | Difference=13.76
2026-07-23 12:14:57,486 - DABUR | Year=2016 | Computed=34.87 | Source=22.3 | Difference=12.57
2026-07-23 12:14:57,486 - DABUR | Year=2017 | Computed=31.05 | Source=22.3 | Difference=8.75
2026-07-23 12:14:57,486 - DABUR | Year=2018 | Computed=28.72 | Source=22.3 | Difference=6.42
2026-07-23 12:14:57,486 - DABUR | Year=2019 | Computed=30.99 | Source=22.3 | Difference=8.69
2026-07-23 12:14:57,490 - DABUR | Year=2020 | Computed=28.02 | Source=22.3 | Difference=5.72
2026-07-23 12:14:57,490 - DABUR | Year=2021 | Computed=28.47 | Source=22.3 | Difference=6.17
2026-07-23 12:14:57,490 - DIVISLAB | Year=2013 | Computed=33.98 | Source=16.5 | Difference=17.48
2026-07-23 12:14:57,490 - DIVISLAB | Year=2014 | Computed=36.42 | Source=16.5 | Difference=19.92
2026-07-23 12:14:57,490 - DIVISLAB | Year=2015 | Computed=34.37 | Source=16.5 | Difference=17.87
2026-07-23 12:14:57,490 - DIVISLAB | Year=2016 | Computed=34.97 | Source=16.5 | Difference=18.47
2026-07-23 12:14:57,490 - DIVISLAB | Year=2017 | Computed=28.22 | Source=16.5 | Difference=11.72
2026-07-23 12:14:57,490 - DIVISLAB | Year=2018 | Computed=22.98 | Source=16.5 | Difference=6.48
2026-07-23 12:14:57,490 - DIVISLAB | Year=2019 | Computed=28.71 | Source=16.5 | Difference=12.21
2026-07-23 12:14:57,490 - DIVISLAB | Year=2020 | Computed=27.38 | Source=16.5 | Difference=10.88
2026-07-23 12:14:57,490 - DIVISLAB | Year=2021 | Computed=31.44 | Source=16.5 | Difference=14.94
2026-07-23 12:14:57,490 - DIVISLAB | Year=2022 | Computed=34.07 | Source=16.5 | Difference=17.57
2026-07-23 12:14:57,490 - DLF | Year=2018 | Computed=22.92 | Source=5.74 | Difference=17.18
2026-07-23 12:14:57,490 - DMART | Year=2016 | Computed=25.10 | Source=19.4 | Difference=5.70
2026-07-23 12:14:57,490 - DMART | Year=2018 | Computed=28.21 | Source=19.4 | Difference=8.81
2026-07-23 12:14:57,490 - DMART | Year=2019 | Computed=26.74 | Source=19.4 | Difference=7.34
2026-07-23 12:14:57,490 - DRREDDY | Year=2017 | Computed=15.39 | Source=26.5 | Difference=11.11
2026-07-23 12:14:57,490 - DRREDDY | Year=2018 | Computed=14.20 | Source=26.5 | Difference=12.30
2026-07-23 12:14:57,490 - DRREDDY | Year=2019 | Computed=19.92 | Source=26.5 | Difference=6.58
2026-07-23 12:14:57,490 - DRREDDY | Year=2020 | Computed=17.67 | Source=26.5 | Difference=8.83
2026-07-23 12:14:57,490 - DRREDDY | Year=2021 | Computed=20.36 | Source=26.5 | Difference=6.14
2026-07-23 12:14:57,490 - DRREDDY | Year=2022 | Computed=19.13 | Source=26.5 | Difference=7.37
2026-07-23 12:14:57,490 - EICHERMOT | Year=2012 | Computed=38.58 | Source=31.1 | Difference=7.48
2026-07-23 12:14:57,490 - EICHERMOT | Year=2013 | Computed=37.77 | Source=31.1 | Difference=6.67
2026-07-23 12:14:57,490 - EICHERMOT | Year=2014 | Computed=47.51 | Source=31.1 | Difference=16.41
2026-07-23 12:14:57,490 - EICHERMOT | Year=2016 | Computed=54.84 | Source=31.1 | Difference=23.74
2026-07-23 12:14:57,490 - EICHERMOT | Year=2017 | Computed=47.46 | Source=31.1 | Difference=16.36
2026-07-23 12:14:57,490 - EICHERMOT | Year=2018 | Computed=46.58 | Source=31.1 | Difference=15.48
2026-07-23 12:14:57,490 - EICHERMOT | Year=2019 | Computed=39.59 | Source=31.1 | Difference=8.49
2026-07-23 12:14:57,490 - EICHERMOT | Year=2021 | Computed=19.43 | Source=31.1 | Difference=11.67
2026-07-23 12:14:57,490 - EICHERMOT | Year=2022 | Computed=21.03 | Source=31.1 | Difference=10.07
2026-07-23 12:14:57,498 - GAIL | Year=2019 | Computed=24.17 | Source=14.7 | Difference=9.47
2026-07-23 12:14:57,498 - GAIL | Year=2020 | Computed=22.82 | Source=14.7 | Difference=8.12
2026-07-23 12:14:57,498 - GAIL | Year=2022 | Computed=24.66 | Source=14.7 | Difference=9.96
2026-07-23 12:14:57,499 - GODREJCP | Year=2013 | Computed=20.61 | Source=26.49 | Difference=5.88
2026-07-23 12:14:57,499 - GODREJCP | Year=2014 | Computed=20.02 | Source=26.49 | Difference=6.47
2026-07-23 12:14:57,499 - GODREJCP | Year=2015 | Computed=20.66 | Source=26.49 | Difference=5.83
2026-07-23 12:14:57,499 - GODREJCP | Year=2016 | Computed=19.49 | Source=26.49 | Difference=7.00
2026-07-23 12:14:57,500 - GODREJCP | Year=2017 | Computed=21.32 | Source=26.49 | Difference=5.17
2026-07-23 12:14:57,500 - GODREJCP | Year=2020 | Computed=19.05 | Source=26.49 | Difference=7.44
2026-07-23 12:14:57,500 - GODREJCP | Year=2021 | Computed=21.43 | Source=26.49 | Difference=5.06
2026-07-23 12:14:57,500 - GODREJCP | Year=2022 | Computed=18.76 | Source=26.49 | Difference=7.73
2026-07-23 12:14:57,500 - GODREJCP | Year=2023 | Computed=17.13 | Source=26.49 | Difference=9.36
2026-07-23 12:14:57,500 - GODREJCP | Year=2024 | Computed=4.73 | Source=26.49 | Difference=21.76
2026-07-23 12:14:57,500 - GRASIM | Year=2013 | Computed=23.10 | Source=9.3 | Difference=13.80
2026-07-23 12:14:57,500 - GRASIM | Year=2014 | Computed=17.55 | Source=9.3 | Difference=8.25
2026-07-23 12:14:57,500 - GRASIM | Year=2015 | Computed=16.18 | Source=9.3 | Difference=6.88
2026-07-23 12:14:57,500 - GRASIM | Year=2016 | Computed=18.11 | Source=9.3 | Difference=8.81
2026-07-23 12:14:57,500 - GRASIM | Year=2017 | Computed=20.84 | Source=9.3 | Difference=11.54
2026-07-23 12:14:57,500 - GRASIM | Year=2022 | Computed=14.68 | Source=9.3 | Difference=5.38
2026-07-23 12:14:57,500 - HAL | Year=2017 | Computed=3170.37 | Source=38.9 | Difference=3131.47
2026-07-23 12:14:57,500 - HAL | Year=2018 | Computed=3173.68 | Source=38.9 | Difference=3134.78
2026-07-23 12:14:57,500 - HAL | Year=2019 | Computed=3507.09 | Source=38.9 | Difference=3468.19
2026-07-23 12:14:57,500 - HAL | Year=2020 | Computed=3782.14 | Source=38.9 | Difference=3743.24
2026-07-23 12:14:57,500 - HAL | Year=2021 | Computed=3800.67 | Source=38.9 | Difference=3761.77
2026-07-23 12:14:57,500 - HAL | Year=2022 | Computed=3882.42 | Source=38.9 | Difference=3843.52
2026-07-23 12:14:57,500 - HAL | Year=2023 | Computed=3723.66 | Source=38.9 | Difference=3684.76
2026-07-23 12:14:57,500 - HAL | Year=2024 | Computed=3617.39 | Source=38.9 | Difference=3578.49
2026-07-23 12:14:57,500 - HAVELLS | Year=2013 | Computed=36.96 | Source=24.4 | Difference=12.56
2026-07-23 12:14:57,500 - HAVELLS | Year=2014 | Computed=29.85 | Source=24.4 | Difference=5.45
2026-07-23 12:14:57,500 - HAVELLS | Year=2015 | Computed=35.82 | Source=24.4 | Difference=11.42
2026-07-23 12:14:57,500 - HAVELLS | Year=2016 | Computed=55.20 | Source=24.4 | Difference=30.80
2026-07-23 12:14:57,500 - HAVELLS | Year=2019 | Computed=30.59 | Source=24.4 | Difference=6.19
2026-07-23 12:14:57,506 - HAVELLS | Year=2021 | Computed=31.17 | Source=24.4 | Difference=6.77
2026-07-23 12:14:57,506 - HCLTECH | Year=2013 | Computed=42.31 | Source=29.6 | Difference=12.71
